timeframe,timeframe_name,rank,rank_name,ranking,heroid,name,roles,lanes,win_rate_pct,pick_rate_pct,ban_rate_pct,meta_score,tier,counter_1,counter_2,counter_3,counter_4,counter_5,synergy_1,synergy_2,synergy_3,synergy_4,synergy_5,avatar_url
1d,Past 1 day,all,ALL,1,14,Rafaela,Support,Roam,59.44,1.19,14.65,62.1,S,Valir,Natalia,Alice,Cici,Marcel,Carmilla,Atlas,Kaja,Gatotkaca,Baxia,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_68277dce415742c4a98883151c693a07.png
1d,Past 1 day,all,ALL,2,132,Marcel,"Tank, Support","Exp Lane, Roam",58.58,0.29,31.62,66.6,S,Atlas,Akai,Sun,Belerick,Khufra,Saber,Natalia,Edith,Kalea,Carmilla,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b3a7602fe7ffd1e54bf8ea79ceadfa72.png
1d,Past 1 day,all,ALL,3,88,Masha,"Fighter, Tank",Exp Lane,58.34,0.66,17.1,58.8,A,Gloo,Cici,Yu Zhong,Eudora,Silvanna,Chip,Yve,Aulus,Nolan,Alice,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c97a314dc260dfad1311512ddc03f936.png
1d,Past 1 day,all,ALL,4,108,Aulus,Fighter,Jungle,58.25,0.7,4.45,51.1,A,Gloo,Minsitthar,Sun,Natalia,Tigreal,Sora,Valentina,Freya,Chip,Arlott,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_40839957990dbb59a9e5ec4da9f85a8e.png
1d,Past 1 day,all,ALL,5,45,Argus,Fighter,Exp Lane,55.34,0.68,1.76,42.1,B,Karrie,Helcurt,Saber,Arlott,Zilong,Alice,Balmond,Hilda,Natalia,Lolita,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0bd96658e5b8ec578226ea1622bd7231.png
1d,Past 1 day,all,ALL,6,19,Minotaur,"Tank, Support",Roam,55.11,1.03,6.04,45.5,A,Lolita,Khufra,Silvanna,Cyclops,Odette,Saber,Kaja,Arlott,Kalea,Chou,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3ecd2c0843df7ec85044dafff6bf4553.png
1d,Past 1 day,all,ALL,7,78,Khufra,Tank,Roam,54.88,0.31,1.77,39.5,B,Wanwan,Alucard,Silvanna,Akai,Sora,Lolita,Natalia,Helcurt,Estes,Fanny,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2fe99f4001211d18b3d2b95d0d3dc395.png
1d,Past 1 day,all,ALL,8,112,Floryn,Support,Roam,54.85,1.03,12.52,48.8,A,X.Borg,Marcel,Alice,Valir,Alpha,Chip,Baxia,Atlas,Carmilla,Granger,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5a57b91e4914cf071a3849e352e530a5.png
1d,Past 1 day,all,ALL,9,133,Hirara,,,54.47,0.68,65.26,68.9,S,Lolita,Hanzo,X.Borg,Gloo,Sun,Angela,Floryn,Granger,Barats,Lunox,https://akmweb.youngjoygame.com/web/svnres/img/test/homepage_2_2_16_1232_1/100_71224844b111f09367df00e4f9b97753.png
1d,Past 1 day,all,ALL,10,104,Gloo,Tank,"Exp Lane, Roam",54.38,0.73,37.39,61.3,S,Aamon,Jawhead,Lolita,Johnson,Chang'e,Natalia,Helcurt,Zilong,Saber,Aldous,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_642/100_c472fe0233e5ef84a3ac9ba4a229d09f.png
